customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
8937-RDTHP,Male,0,No,No,1,Yes,No,"Fiber optic",Yes,No,No,No,No,Yes,Month-to-month,Yes,"Mailed check",84.6,84.6,Yes
0094-OIFMO,Female,1,No,No,11,Yes,No,"Fiber optic",No,Yes,No,No,Yes,Yes,Month-to-month,Yes,"Electronic check",95,1120.3,Yes
4629-NRXKX,Female,0,Yes,Yes,2,Yes,No,"Fiber optic",No,No,No,No,No,No,Month-to-month,No,"Electronic check",70.4,147.15,Yes
5940-AHUHD,Male,0,No,No,1,Yes,No,"Fiber optic",No,No,No,No,No,No,Month-to-month,No,"Mailed check",70.6,70.6,Yes
6432-TWQLB,Male,0,Yes,No,5,Yes,Yes,"Fiber optic",No,Yes,No,Yes,No,No,Month-to-month,Yes,"Electronic check",85.4,401.1,Yes
3488-PGMQJ,Male,1,No,No,8,Yes,No,"Fiber optic",No,Yes,No,No,No,No,Month-to-month,Yes,"Electronic check",74.5,606.55,Yes
6390-DSAZX,Female,0,No,Yes,1,Yes,No,"Fiber optic",Yes,No,No,No,No,No,Month-to-month,Yes,"Mailed check",73.6,73.6,Yes
8098-LLAZX,Female,1,No,No,4,Yes,Yes,"Fiber optic",No,No,No,No,Yes,Yes,Month-to-month,Yes,"Electronic check",95.45,396.1,Yes
7563-BIUPC,Male,0,No,No,5,Yes,No,"Fiber optic",No,No,No,No,Yes,No,Month-to-month,Yes,"Electronic check",80.6,415.55,Yes
5804-LEPIM,Female,1,No,No,2,Yes,No,"Fiber optic",No,No,No,No,No,No,Month-to-month,Yes,"Electronic check",70.35,139.05,Yes
0122-OAHPZ,Female,0,No,No,7,Yes,Yes,"Fiber optic",No,No,No,No,No,No,Month-to-month,Yes,"Electronic check",73.85,511.25,Yes
2868-SNELZ,Female,0,No,No,2,Yes,Yes,"Fiber optic",No,No,Yes,No,No,No,Month-to-month,No,"Mailed check",80.6,155.8,Yes
2034-GDRCN,Female,0,No,No,2,Yes,No,"Fiber optic",No,No,No,No,Yes,Yes,Month-to-month,Yes,"Electronic check",90.4,168.2,Yes
0219-YTZUE,Male,0,Yes,Yes,4,Yes,Yes,"Fiber optic",No,Yes,Yes,No,No,No,Month-to-month,Yes,"Bank transfer (automatic)",84.8,371.9,Yes
4572-DVCGN,Female,0,No,No,10,Yes,No,"Fiber optic",No,No,No,No,No,Yes,Month-to-month,Yes,"Bank transfer (automatic)",80.25,846,Yes
1010-DIAUQ,Male,0,No,No,5,Yes,No,"Fiber optic",No,No,Yes,No,Yes,Yes,Month-to-month,No,"Bank transfer (automatic)",96.5,492.55,Yes
0259-GBZSH,Male,0,No,No,2,Yes,Yes,"Fiber optic",No,No,No,No,Yes,No,Month-to-month,Yes,"Electronic check",85.65,181.5,Yes
5167-ZFFMM,Male,0,No,No,1,Yes,Yes,"Fiber optic",No,Yes,No,No,No,Yes,Month-to-month,Yes,"Credit card (automatic)",90.85,90.85,Yes
0334-GDDSO,Male,1,No,No,3,Yes,Yes,"Fiber optic",No,Yes,No,No,No,No,Month-to-month,Yes,"Electronic check",81.35,233.7,Yes
5564-NEMQO,Female,1,No,No,1,Yes,No,"Fiber optic",No,No,Yes,No,No,No,Month-to-month,Yes,"Bank transfer (automatic)",75.3,75.3,Yes
0880-TKATG,Male,0,Yes,Yes,4,Yes,Yes,"Fiber optic",No,No,Yes,No,Yes,Yes,Month-to-month,No,"Electronic check",101.15,385.9,Yes
3811-VBYBZ,Male,0,No,No,7,Yes,Yes,"Fiber optic",No,Yes,No,No,Yes,Yes,Month-to-month,Yes,"Electronic check",99.8,673.25,Yes
9399-APLBT,Female,0,Yes,Yes,1,Yes,No,"Fiber optic",No,Yes,No,No,No,No,Month-to-month,Yes,"Electronic check",74.7,74.7,Yes
0306-JAELE,Male,0,No,No,5,Yes,No,"Fiber optic",No,No,No,Yes,Yes,Yes,Month-to-month,Yes,"Electronic check",96.1,453.4,Yes
5949-XIKAE,Female,0,Yes,Yes,8,Yes,No,"Fiber optic",No,Yes,No,No,Yes,No,Month-to-month,Yes,"Electronic check",83.55,680.05,Yes
8372-JUXUI,Male,0,No,Yes,1,Yes,Yes,"Fiber optic",No,No,No,No,No,No,Month-to-month,Yes,"Electronic check",74.35,74.35,Yes
0388-EOPEX,Female,0,Yes,No,2,Yes,No,"Fiber optic",Yes,No,No,No,No,No,Month-to-month,Yes,"Electronic check",74.4,139.4,Yes
7218-HKQFK,Male,0,Yes,No,2,Yes,No,"Fiber optic",No,No,No,Yes,Yes,Yes,Month-to-month,Yes,"Electronic check",94.2,167.5,Yes
4636-QRJKY,Female,0,Yes,Yes,6,Yes,Yes,"Fiber optic",No,No,No,Yes,No,No,Month-to-month,Yes,"Electronic check",80.5,502.85,Yes
5956-VKDTT,Female,1,Yes,No,5,Yes,Yes,"Fiber optic",No,No,No,No,No,No,Month-to-month,Yes,"Electronic check",74.35,334.8,Yes
9282-IZGQK,Female,0,No,No,1,Yes,Yes,"Fiber optic",No,No,No,No,No,Yes,Month-to-month,Yes,"Electronic check",85,85,Yes
1342-JPNKI,Male,0,No,No,10,Yes,Yes,"Fiber optic",No,No,No,No,Yes,No,Month-to-month,Yes,"Bank transfer (automatic)",86.05,834.1,Yes
3627-FHKBK,Female,0,No,No,1,Yes,No,"Fiber optic",Yes,No,No,No,No,No,Month-to-month,No,"Mailed check",75.3,75.3,Yes
2865-TCHJW,Female,1,No,No,4,Yes,Yes,"Fiber optic",No,No,Yes,No,Yes,No,Month-to-month,Yes,"Electronic check",89.2,346.2,Yes
5192-EBGOV,Female,1,No,No,1,Yes,Yes,"Fiber optic",No,No,No,No,Yes,No,Month-to-month,Yes,"Electronic check",85.7,85.7,Yes
0195-IESCP,Male,0,Yes,No,10,Yes,Yes,"Fiber optic",No,No,No,No,No,Yes,Month-to-month,Yes,"Electronic check",85.25,855.3,Yes
0970-ETWGE,Male,0,No,No,1,Yes,No,"Fiber optic",No,No,No,No,Yes,Yes,Month-to-month,Yes,"Electronic check",89.55,89.55,Yes
5644-PDMZC,Female,1,No,No,2,Yes,Yes,"Fiber optic",No,Yes,No,No,No,Yes,Month-to-month,No,"Electronic check",89.5,161.5,Yes
2024-BASKD,Female,0,No,No,1,Yes,No,"Fiber optic",No,No,Yes,No,No,No,Month-to-month,Yes,"Mailed check",74.6,74.6,Yes
3276-HDUEG,Female,0,No,No,1,Yes,Yes,"Fiber optic",No,No,No,No,No,No,Month-to-month,Yes,"Mailed check",75.05,75.05,Yes
1448-PWKYE,Male,0,Yes,Yes,1,Yes,No,"Fiber optic",No,No,No,No,No,Yes,Month-to-month,No,"Electronic check",80,80,Yes
2276-YDAVZ,Female,0,No,No,3,Yes,Yes,"Fiber optic",No,No,No,No,No,No,Month-to-month,Yes,"Credit card (automatic)",75.1,270.7,Yes
4952-YSOGZ,Female,0,Yes,Yes,4,Yes,Yes,"Fiber optic",No,No,No,No,No,Yes,Month-to-month,Yes,"Electronic check",85.95,381.3,Yes
5138-WVKYJ,Male,0,No,No,10,Yes,Yes,"Fiber optic",Yes,No,No,No,Yes,Yes,Month-to-month,No,"Electronic check",98.55,1008.55,Yes
7379-POKDZ,Male,0,Yes,No,3,Yes,No,"Fiber optic",No,No,No,No,No,No,Month-to-month,Yes,"Electronic check",70.3,208.85,Yes
5842-POCOP,Female,0,Yes,No,5,Yes,No,"Fiber optic",Yes,No,Yes,No,No,Yes,Month-to-month,Yes,"Mailed check",88.9,454.15,Yes
7314-OXENN,Male,0,No,No,2,Yes,Yes,"Fiber optic",No,Yes,No,No,No,No,Month-to-month,Yes,"Electronic check",82,184.65,Yes
1450-GALXR,Female,0,No,No,10,Yes,Yes,"Fiber optic",No,No,No,Yes,Yes,Yes,Month-to-month,Yes,"Electronic check",98.5,1058.25,Yes
3138-BKYAV,Male,0,No,No,6,Yes,No,"Fiber optic",No,Yes,No,No,Yes,No,Month-to-month,Yes,"Electronic check",85.35,489.45,Yes
6275-YDUVO,Female,0,No,No,2,Yes,No,"Fiber optic",No,No,Yes,No,No,Yes,Month-to-month,Yes,"Mailed check",86.2,178.7,Yes
3643-AHCFP,Male,1,Yes,No,7,Yes,Yes,"Fiber optic",No,No,No,No,Yes,Yes,Month-to-month,Yes,"Bank transfer (automatic)",95.6,644.35,Yes
9231-ZJYAM,Female,1,No,No,4,Yes,No,"Fiber optic",No,No,No,No,Yes,No,Month-to-month,Yes,"Electronic check",78.85,292.8,Yes
3027-ZTDHO,Male,0,No,No,1,Yes,No,"Fiber optic",No,No,No,No,Yes,Yes,Month-to-month,Yes,"Electronic check",89.9,89.9,Yes
9944-HKVVB,Female,0,No,No,3,Yes,No,"Fiber optic",No,Yes,No,No,Yes,Yes,Month-to-month,Yes,"Electronic check",95.1,307.4,Yes
3671-SHRSP,Male,0,Yes,No,4,Yes,No,"Fiber optic",No,No,Yes,Yes,No,No,Month-to-month,Yes,"Mailed check",80.6,319.15,Yes
9851-KIELU,Male,0,No,No,10,Yes,No,"Fiber optic",Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,"Electronic check",110.1,1043.3,Yes
3908-BLSYF,Female,0,No,No,6,Yes,No,"Fiber optic",No,No,Yes,No,No,Yes,Month-to-month,No,"Electronic check",83.9,497.55,Yes
9734-YWGEX,Female,0,No,No,9,Yes,Yes,"Fiber optic",No,No,Yes,No,Yes,Yes,Month-to-month,No,"Credit card (automatic)",98.3,923.5,Yes
0781-LKXBR,Male,1,No,No,9,Yes,Yes,"Fiber optic",No,No,Yes,No,Yes,Yes,Month-to-month,Yes,"Electronic check",100.5,918.6,Yes
1907-UBQFC,Male,1,No,No,10,Yes,No,"Fiber optic",No,Yes,No,No,No,No,Month-to-month,Yes,"Electronic check",72.85,688.65,Yes
6513-EECDB,Male,1,Yes,No,1,Yes,Yes,"Fiber optic",No,No,No,No,No,No,Month-to-month,Yes,"Electronic check",73.55,73.55,Yes
7074-IEVOJ,Female,1,No,No,3,Yes,Yes,"Fiber optic",No,Yes,No,No,No,No,Month-to-month,Yes,"Electronic check",79.4,205.05,Yes
4750-ZRXIU,Female,1,No,No,4,Yes,Yes,"Fiber optic",No,No,No,No,No,Yes,Month-to-month,Yes,"Electronic check",84.6,360.1,Yes
6400-BWQKW,Female,0,No,No,6,Yes,Yes,"Fiber optic",Yes,No,No,No,No,No,Month-to-month,Yes,"Electronic check",79.05,434.5,Yes
6680-WKXRZ,Female,0,No,No,3,Yes,Yes,"Fiber optic",No,No,No,No,No,No,Month-to-month,No,"Bank transfer (automatic)",74.4,215.8,Yes
9889-TMAHG,Male,1,No,No,8,Yes,No,"Fiber optic",Yes,No,No,Yes,Yes,Yes,Month-to-month,No,"Credit card (automatic)",100.3,832.35,Yes
3158-MOERK,Female,0,No,No,2,Yes,Yes,"Fiber optic",No,No,No,No,Yes,Yes,Month-to-month,Yes,"Electronic check",96,174.8,Yes
7294-TMAOP,Female,0,No,No,1,Yes,No,"Fiber optic",No,No,No,No,Yes,Yes,Month-to-month,No,"Electronic check",90.55,90.55,Yes
8603-IJWDN,Male,0,No,No,1,Yes,Yes,"Fiber optic",No,No,No,No,No,Yes,Month-to-month,Yes,"Electronic check",86.6,86.6,Yes
1374-DMZUI,Female,1,No,No,4,Yes,Yes,"Fiber optic",No,No,No,No,Yes,Yes,Month-to-month,Yes,"Electronic check",94.3,424.45,Yes
8357-EQXFO,Female,0,No,No,7,Yes,No,"Fiber optic",No,No,Yes,No,Yes,Yes,Month-to-month,Yes,"Electronic check",95.35,660.9,Yes
4822-RVYBB,Male,1,No,No,8,Yes,Yes,"Fiber optic",No,No,Yes,No,Yes,Yes,Month-to-month,Yes,"Electronic check",100.6,819.4,Yes
4184-TJFAN,Female,1,Yes,Yes,3,Yes,No,"Fiber optic",Yes,No,No,Yes,Yes,No,Month-to-month,Yes,"Mailed check",88.3,273.75,Yes
4145-UQXUQ,Female,1,No,No,8,Yes,No,"Fiber optic",No,No,Yes,No,Yes,Yes,Month-to-month,Yes,"Electronic check",92.1,729.95,Yes
6941-PMGEP,Female,0,No,No,5,Yes,No,"Fiber optic",No,No,No,No,No,Yes,Month-to-month,Yes,"Electronic check",80,412.5,Yes
1624-WOIWJ,Female,0,No,No,10,Yes,No,"Fiber optic",Yes,No,No,No,Yes,No,Month-to-month,Yes,"Mailed check",84.7,832.05,Yes
2074-GKOWZ,Male,0,Yes,Yes,2,Yes,No,"Fiber optic",No,No,No,No,Yes,Yes,Month-to-month,Yes,"Bank transfer (automatic)",89.55,185.55,Yes
0655-RBDUG,Male,0,No,No,7,Yes,Yes,"Fiber optic",No,No,Yes,No,Yes,Yes,Month-to-month,Yes,"Bank transfer (automatic)",98.05,713,Yes
9878-TNQGW,Male,0,No,No,2,Yes,No,"Fiber optic",No,No,No,No,No,Yes,Month-to-month,Yes,"Electronic check",80.95,171.15,Yes
8999-BOHSE,Female,1,No,No,11,Yes,No,"Fiber optic",No,No,No,No,Yes,Yes,Month-to-month,No,"Bank transfer (automatic)",89.7,1047.7,Yes
9763-PDTKK,Female,0,No,No,4,Yes,No,"Fiber optic",Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,"Bank transfer (automatic)",94.4,387.2,Yes
0927-LCSMG,Male,0,No,No,7,Yes,No,"Fiber optic",No,No,Yes,No,No,No,Month-to-month,No,"Mailed check",74.65,544.55,Yes
5293-WXJAK,Female,1,Yes,No,11,Yes,Yes,"Fiber optic",No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,"Bank transfer (automatic)",104.05,1133.65,Yes
7851-WZEKY,Female,0,No,No,2,Yes,Yes,"Fiber optic",No,No,No,No,Yes,Yes,Month-to-month,Yes,"Electronic check",95.15,196.9,Yes
4086-YQSNZ,Female,1,Yes,No,3,Yes,No,"Fiber optic",No,No,No,No,Yes,No,Month-to-month,Yes,"Electronic check",80.4,224.05,Yes
3992-YWPKO,Female,0,No,No,6,Yes,Yes,"Fiber optic",No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,"Credit card (automatic)",109.9,669.45,Yes
1579-KLYDT,Male,0,No,No,7,Yes,Yes,"Fiber optic",No,No,Yes,No,Yes,No,Month-to-month,Yes,"Electronic check",90.45,593.45,Yes
6358-LYNGM,Male,0,No,No,1,Yes,Yes,"Fiber optic",No,No,No,No,No,No,Month-to-month,Yes,"Electronic check",74.9,74.9,Yes
5494-HECPR,Female,0,No,No,1,Yes,No,"Fiber optic",No,No,No,No,Yes,No,Month-to-month,Yes,"Electronic check",80.25,80.25,Yes
9897-KXHCM,Female,0,Yes,Yes,3,Yes,No,"Fiber optic",No,No,No,No,No,Yes,Month-to-month,Yes,"Electronic check",80.3,250.05,Yes
1618-CFHME,Female,0,No,No,2,Yes,Yes,"Fiber optic",No,No,No,No,No,No,Month-to-month,Yes,"Electronic check",75.9,143.35,Yes
5835-BEQEU,Male,0,No,No,3,Yes,Yes,"Fiber optic",No,No,No,No,No,No,Month-to-month,Yes,"Electronic check",76.95,228.4,Yes
7321-PKUYW,Female,0,No,No,11,Yes,Yes,"Fiber optic",No,No,No,Yes,Yes,No,Month-to-month,No,"Electronic check",90.15,987.95,Yes
7595-EUIVN,Female,0,No,No,1,Yes,No,"Fiber optic",No,Yes,No,No,No,No,Month-to-month,No,"Electronic check",75.8,75.8,Yes
2026-TGDHM,Female,0,No,No,7,Yes,No,"Fiber optic",No,No,No,No,No,Yes,Month-to-month,Yes,"Electronic check",79.3,523.15,Yes
9134-CEQMF,Male,1,Yes,No,7,Yes,No,"Fiber optic",No,No,No,No,Yes,Yes,Month-to-month,Yes,"Electronic check",89.5,676.7,Yes
7993-PYKOF,Male,0,Yes,No,8,Yes,No,"Fiber optic",Yes,No,No,No,No,No,Month-to-month,No,"Electronic check",75,632.95,Yes
1184-PJVDB,Male,0,Yes,No,10,Yes,No,"Fiber optic",No,No,No,No,Yes,No,Month-to-month,Yes,"Electronic check",79.95,857.2,Yes
7943-RQCHR,Female,0,No,No,9,Yes,Yes,"Fiber optic",No,No,No,No,Yes,Yes,Month-to-month,Yes,"Electronic check",94.75,889.9,Yes
3249-ZPQRG,Male,0,No,No,4,Yes,Yes,"Fiber optic",No,Yes,No,No,No,No,Month-to-month,No,"Electronic check",78.45,330.05,Yes
2568-BRGYX,Male,0,No,No,4,Yes,No,"Fiber optic",No,No,No,No,No,No,Month-to-month,Yes,"Electronic check",70.2,237.95,Yes
7249-WBIYX,Male,0,Yes,No,10,Yes,Yes,"Fiber optic",No,No,No,No,Yes,No,Month-to-month,Yes,"Electronic check",85.6,813.85,Yes
6567-HOOPW,Female,1,No,No,1,Yes,No,"Fiber optic",No,No,No,No,Yes,No,Month-to-month,Yes,"Electronic check",79.2,79.2,Yes
5419-CONWX,Female,1,No,No,4,Yes,No,"Fiber optic",No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,"Credit card (automatic)",99.8,442.85,Yes
6960-HVYXR,Female,0,No,No,1,Yes,Yes,"Fiber optic",No,No,No,No,No,No,Month-to-month,No,"Electronic check",76,76,Yes
7024-OHCCK,Female,1,No,No,2,Yes,Yes,"Fiber optic",No,No,No,No,Yes,Yes,Month-to-month,Yes,"Electronic check",93.85,170.85,Yes
5357-TZHPP,Male,1,No,No,9,Yes,Yes,"Fiber optic",No,No,No,No,No,Yes,Month-to-month,Yes,"Credit card (automatic)",84.4,732.5,Yes
9546-CQJSU,Female,0,No,No,2,Yes,Yes,"Fiber optic",No,No,Yes,No,Yes,No,Month-to-month,Yes,"Electronic check",91.4,193.6,Yes
0506-LVNGN,Female,1,No,No,5,Yes,No,"Fiber optic",No,No,Yes,No,No,No,Month-to-month,Yes,"Credit card (automatic)",75.55,349.65,Yes
2951-QOQTK,Male,0,No,Yes,4,Yes,Yes,"Fiber optic",No,No,No,Yes,No,No,Month-to-month,No,"Credit card (automatic)",80.8,332.45,Yes
2952-QAYZF,Male,0,No,No,5,Yes,Yes,"Fiber optic",No,Yes,Yes,No,No,No,Month-to-month,Yes,"Electronic check",85.3,424.15,Yes
4763-PGDPO,Female,0,No,No,4,Yes,No,"Fiber optic",No,No,No,No,No,No,Month-to-month,No,"Electronic check",70.4,281,Yes
5240-IJOQT,Male,1,No,No,1,Yes,Yes,"Fiber optic",No,No,No,No,No,No,Month-to-month,Yes,"Electronic check",74.7,74.7,Yes
3703-VAVCL,Male,0,Yes,Yes,2,Yes,No,"Fiber optic",No,No,Yes,Yes,No,Yes,Month-to-month,No,"Credit card (automatic)",90,190.05,Yes
6326-MTTXK,Male,0,No,No,8,Yes,Yes,"Fiber optic",No,Yes,No,No,Yes,Yes,Month-to-month,No,"Electronic check",100.85,819.55,Yes
3186-BAXNB,Female,0,No,No,1,Yes,No,"Fiber optic",No,Yes,No,Yes,Yes,No,Month-to-month,No,"Electronic check",91.7,91.7,Yes
1157-BQCUW,Male,0,No,No,1,Yes,Yes,"Fiber optic",No,No,No,No,No,No,Month-to-month,Yes,"Electronic check",74.95,74.95,Yes
2660-EMUBI,Male,1,No,No,10,Yes,Yes,"Fiber optic",No,No,No,No,Yes,Yes,Month-to-month,Yes,"Electronic check",95.35,898.35,Yes
2761-OCIAX,Male,1,No,No,2,Yes,No,"Fiber optic",No,Yes,No,No,No,No,Month-to-month,Yes,"Electronic check",74.7,165.4,Yes
3068-OMWZA,Male,1,No,No,1,Yes,Yes,"Fiber optic",No,No,Yes,No,Yes,No,Month-to-month,Yes,"Electronic check",88.8,88.8,Yes
1262-OPMFY,Female,0,Yes,No,9,Yes,No,"Fiber optic",No,No,Yes,No,No,No,Month-to-month,Yes,"Bank transfer (automatic)",75.75,655.9,Yes
5442-XSDCW,Male,0,Yes,Yes,11,Yes,No,"Fiber optic",No,No,No,No,Yes,No,Month-to-month,Yes,"Bank transfer (automatic)",79.5,868.5,Yes
3049-NDXFL,Female,0,No,No,1,Yes,Yes,"Fiber optic",No,No,No,No,No,Yes,Month-to-month,No,"Mailed check",85.8,85.8,Yes
8580-AECUZ,Male,1,No,No,1,Yes,No,"Fiber optic",No,No,No,No,Yes,No,Month-to-month,Yes,"Electronic check",79.1,79.1,Yes
8593-WHYHV,Male,0,No,No,3,Yes,Yes,"Fiber optic",No,No,No,No,No,Yes,Month-to-month,Yes,"Electronic check",85.3,264.8,Yes
0107-YHINA,Male,0,No,Yes,1,Yes,Yes,"Fiber optic",No,No,Yes,No,Yes,Yes,Month-to-month,Yes,"Electronic check",99.75,99.75,Yes
8640-SDGKB,Male,0,No,No,4,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,"Electronic check",74.4,299.7,Yes
4116-TZAQJ,Female,0,No,No,9,Yes,No,"Fiber optic",Yes,No,No,No,No,No,Month-to-month,Yes,"Credit card (automatic)",74.25,639.65,Yes
5318-IXUZF,Female,0,No,No,2,Yes,No,"Fiber optic",No,Yes,No,No,Yes,No,Month-to-month,Yes,"Bank transfer (automatic)",87.15,183.75,Yes
3198-VELRD,Female,0,Yes,Yes,3,Yes,Yes,"Fiber optic",No,No,No,No,No,Yes,Month-to-month,Yes,"Bank transfer (automatic)",84.75,264.85,Yes
7198-GLXTC,Male,0,No,No,2,Yes,No,"Fiber optic",No,No,No,No,Yes,No,Month-to-month,No,"Electronic check",79,143.65,Yes
8380-PEFPE,Male,0,No,Yes,1,Yes,No,"Fiber optic",No,No,No,No,No,No,Month-to-month,Yes,"Electronic check",71.65,71.65,Yes
9172-ANCRX,Female,0,No,No,10,Yes,Yes,"Fiber optic",Yes,No,No,No,Yes,Yes,Month-to-month,Yes,"Electronic check",98.7,973.25,Yes
6910-HADCM,Female,0,No,No,1,Yes,No,"Fiber optic",No,No,Yes,No,No,No,Month-to-month,No,"Electronic check",76.35,76.35,Yes
0923-PNFUB,Female,0,No,No,3,Yes,No,"Fiber optic",No,Yes,No,No,Yes,No,Month-to-month,No,"Electronic check",83.75,247.25,Yes
3494-JCHRQ,Male,0,No,No,1,Yes,No,"Fiber optic",No,No,No,No,No,No,Month-to-month,Yes,"Electronic check",70.05,70.05,Yes
6474-FVJLC,Male,0,No,No,2,Yes,Yes,"Fiber optic",No,No,No,No,No,Yes,Month-to-month,Yes,"Electronic check",86,165.45,Yes
6689-TCZHQ,Female,1,No,No,5,Yes,No,"Fiber optic",No,No,No,No,No,Yes,Month-to-month,No,"Electronic check",78.95,378.4,Yes
4587-NUKOX,Female,0,No,No,3,Yes,No,"Fiber optic",Yes,Yes,No,No,No,No,Month-to-month,Yes,"Electronic check",79.1,246.5,Yes
8183-ONMXC,Female,0,No,No,2,Yes,No,"Fiber optic",No,No,No,No,No,Yes,Month-to-month,No,"Electronic check",80.75,159.45,Yes
5054-IEXZT,Male,0,No,Yes,1,Yes,No,"Fiber optic",No,Yes,No,No,No,No,Month-to-month,Yes,"Electronic check",75.35,75.35,Yes
5834-ASPWA,Male,0,No,No,1,Yes,Yes,"Fiber optic",No,No,No,No,No,No,Month-to-month,Yes,"Electronic check",75.45,75.45,Yes
5445-UTODQ,Female,0,Yes,No,7,Yes,No,"Fiber optic",No,No,No,No,Yes,No,Month-to-month,Yes,"Electronic check",81.1,576.65,Yes
1024-VRZHF,Male,0,Yes,No,11,Yes,Yes,"Fiber optic",No,No,No,No,No,No,Month-to-month,Yes,"Electronic check",74.95,825.7,Yes
9497-QCMMS,Male,1,No,No,1,Yes,Yes,"Fiber optic",No,No,No,No,Yes,Yes,Month-to-month,Yes,"Electronic check",93.55,93.55,Yes
8086-OVPWV,Male,0,No,No,2,Yes,No,"Fiber optic",No,No,No,No,No,Yes,Month-to-month,Yes,"Electronic check",80.2,181.1,Yes
9430-FRQOC,Female,0,No,Yes,4,Yes,Yes,"Fiber optic",No,No,Yes,Yes,No,No,Month-to-month,Yes,"Mailed check",87.1,341.45,Yes
3074-GQWYX,Male,0,No,No,5,Yes,Yes,"Fiber optic",No,No,No,No,No,No,Month-to-month,Yes,"Bank transfer (automatic)",75.9,357.75,Yes
8861-HGGKB,Female,0,No,No,10,Yes,Yes,"Fiber optic",No,No,No,No,No,Yes,Month-to-month,No,"Electronic check",86.45,830.85,Yes
